,model,dms_id,accuracy,precision,recall,f1,mcc,n
183,xTrimoPGLM-100B-int4,A4_HUMAN_Seuma_2022,0.5994193504827493,0.6317353139770425,0.5933536276002029,0.6119432271567794,0.1992594518497991,14811
184,Progen3_112m,A4_HUMAN_Seuma_2022,0.6352710823036932,0.6676121015667207,0.6269660071029934,0.6466509680795395,0.27112181485657927,14811
185,Progen3_219m,A4_HUMAN_Seuma_2022,0.6539733981500236,0.6862930452397029,0.6445966514459666,0.6647916802930212,0.30859602553428106,14811
186,Progen3_339m,A4_HUMAN_Seuma_2022,0.6545135372358383,0.6868332207967589,0.6451040081177067,0.6653149323042711,0.3096785658677908,14811
187,Progen3_762m,A4_HUMAN_Seuma_2022,0.6373641212612248,0.6696826468602296,0.6289954337899544,0.6487016809470861,0.2753079102788571,14811
188,Progen3_1b,A4_HUMAN_Seuma_2022,0.6273715481736547,0.6596893990546928,0.61960933536276,0.6390215187389626,0.2552809141089272,14811
189,Progen3_3b,A4_HUMAN_Seuma_2022,0.6334481128890689,0.6657663740715732,0.6253170979198377,0.6449081038655242,0.26745949286091164,14811
190,Site_Independent,ACE2_HUMAN_Chan_2020,0.581646423751687,0.5814581458145814,0.5814581458145814,0.5814581458145814,0.16329267818868218,2223
191,EVmutation,ACE2_HUMAN_Chan_2020,0.5528565002249213,0.5526552655265526,0.5526552655265526,0.5526552655265526,0.10571281948338719,2223
192,DeepSequence_single,ACE2_HUMAN_Chan_2020,0.5393612235717499,0.5391539153915391,0.5391539153915391,0.5391539153915391,0.07872226071528016,2223
193,DeepSequence_ensemble,ACE2_HUMAN_Chan_2020,0.5393612235717499,0.5391539153915391,0.5391539153915391,0.5391539153915391,0.07872226071528016,2223
194,EVE_single,ACE2_HUMAN_Chan_2020,0.5591542959964012,0.5589558955895589,0.5589558955895589,0.5589558955895589,0.11830841357517047,2223
195,EVE_ensemble,ACE2_HUMAN_Chan_2020,0.5510571300044984,0.5508550855085509,0.5508550855085509,0.5508550855085509,0.10211407831430624,2223
196,Unirep,ACE2_HUMAN_Chan_2020,0.4853801169590643,0.48514851485148514,0.48514851485148514,0.48514851485148514,-0.029239974357147945,2223
197,Unirep_evotune,ACE2_HUMAN_Chan_2020,0.5069725596041386,0.5067506750675067,0.5067506750675067,0.5067506750675067,0.013944919671823297,2223
198,MSA_Transformer_single,ACE2_HUMAN_Chan_2020,0.5807467386414755,0.5805580558055805,0.5805580558055805,0.5805580558055805,0.1614933076041417,2223
199,MSA_Transformer_ensemble,ACE2_HUMAN_Chan_2020,0.5843454790823212,0.5841584158415841,0.5841584158415841,0.5841584158415841,0.16869078994230358,2223
200,ESM1b,ACE2_HUMAN_Chan_2020,0.5906432748538012,0.5904590459045904,0.5904590459045904,0.5904590459045904,0.18128638403408687,2223
201,ESM1v_single,ACE2_HUMAN_Chan_2020,0.5429599640125956,0.5427542754275427,0.5427542754275427,0.5427542754275427,0.08591974305344204,2223
202,ESM1v_ensemble,ACE2_HUMAN_Chan_2020,0.5636527215474584,0.5634563456345635,0.5634563456345635,0.5634563456345635,0.1273052664978728,2223
203,ESM2_8M,ACE2_HUMAN_Chan_2020,0.49347728295096716,0.49324932493249324,0.49324932493249324,0.49324932493249324,-0.013045639096283729,2223
